timestamp,date,sales,revenue,product_category,region,average_price,units_sold,customer_satisfaction,comments,conversion_rate,return_rate,inventory_level,marketing_spend,discount_percentage,shipping_time_days
2023-03-31,2023-03-31,144,16838.29,Clothing,South,115.39,144,1.3,Not worth the price,0.02,0.043,525,141.08,0.04,2
2023-04-01,2023-04-01,140,5405.55,Toys,Central,39.82,140,3.4,Okay product but overpriced,0.021,0.029,564,104.96,0.0,2
2023-04-02,2023-04-02,150,15239.32,Electronics,East,98.61,150,3.3,"Product as described, satisfied",0.031,0.036,938,457.31,0.03,4
2023-04-03,2023-04-03,125,26629.39,Electronics,Central,205.35,125,3.0,Shipping was delayed but product is good,0.038,0.099,218,347.26,0.12,3
2023-04-04,2023-04-04,142,26319.51,Home & Garden,South,183.37,142,2.2,Okay product but overpriced,0.043,0.096,839,101.41,0.19,1
2023-04-05,2023-04-05,130,10168.45,Electronics,South,76.79,130,1.5,Broke after a week of use,0.025,0.051,432,208.92,0.13,5
2023-04-06,2023-04-06,99,8898.46,Electronics,West,86.08,99,3.7,"Average product, nothing special",0.037,0.043,634,109.12,0.19,6
2023-04-07,2023-04-07,154,19697.32,Clothing,East,132.95,154,4.6,Mediocre at best,0.013,0.058,227,110.54,0.13,2
2023-04-08,2023-04-08,117,13949.34,Home & Garden,Central,123.9,117,3.2,Okay product but overpriced,0.024,0.076,687,861.04,0.21,3
2023-04-09,2023-04-09,138,7408.43,Clothing,North,52.18,138,2.8,Okay product but overpriced,0.042,0.084,871,924.97,0.13,2
2023-04-10,2023-04-10,135,11960.43,Home & Garden,South,86.81,135,3.8,"Product as described, satisfied",0.025,0.025,487,228.33,0.27,3
2023-04-11,2023-04-11,127,7911.18,Electronics,East,61.45,127,2.4,Good value for money,0.013,0.047,380,709.41,0.18,3
2023-04-12,2023-04-12,122,61479.28,Electronics,Central,494.62,122,1.6,Disappointed with the quality,0.029,0.012,554,967.62,0.12,1
2023-04-13,2023-04-13,101,21602.77,Electronics,South,224.59,101,4.0,Best purchase this year,0.028,0.036,910,204.53,0.29,2
2023-04-14,2023-04-14,145,24423.57,Sports,South,160.66,145,2.2,Shipping was delayed but product is good,0.048,0.045,446,406.35,0.16,1
2023-04-15,2023-04-15,152,18456.98,Home & Garden,North,117.51,152,2.8,Good value for money,0.022,0.033,275,151.88,0.1,2
2023-04-16,2023-04-16,145,4722.41,Books,North,32.31,145,1.6,Would not recommend to others,0.028,0.066,540,461.6,0.3,6
2023-04-17,2023-04-17,158,14081.28,Clothing,North,91.87,158,2.6,"Product as described, satisfied",0.012,0.053,588,304.97,0.29,6
2023-04-18,2023-04-18,156,13071.8,Clothing,East,87.01,156,4.2,"Great product, highly recommend!",0.015,0.081,348,889.38,0.28,1
2023-04-19,2023-04-19,130,26484.15,Home & Garden,Central,196.58,130,3.4,Good value for money,0.025,0.036,282,785.62,0.12,4
2023-04-20,2023-04-20,136,17661.92,Home & Garden,East,123.91,136,2.6,"Product as described, satisfied",0.043,0.079,616,960.44,0.06,1
2023-04-21,2023-04-21,130,16727.82,Sports,West,123.81,130,1.2,Would not recommend to others,0.045,0.05,559,663.93,0.28,1
2023-04-22,2023-04-22,152,22276.88,Home & Garden,Central,143.79,152,1.5,Not worth the price,0.022,0.042,823,350.88,0.06,6
2023-04-23,2023-04-23,160,82465.7,Electronics,Central,499.02,160,2.2,"Product as described, satisfied",0.011,0.076,850,766.43,0.04,5
2023-04-24,2023-04-24,173,18597.01,Clothing,West,103.9,173,3.5,Shipping was delayed but product is good,0.014,0.054,169,466.79,0.12,1
2023-04-25,2023-04-25,148,15454.71,Electronics,West,99.95,148,1.3,Not worth the price,0.048,0.057,369,169.18,0.15,5
2023-04-26,2023-04-26,109,2351.02,Clothing,South,21.78,109,2.2,Okay product but overpriced,0.019,0.035,823,936.31,0.12,6
2023-04-27,2023-04-27,106,28419.74,Electronics,North,264.4,106,4.9,"Great product, highly recommend!",0.034,0.042,683,210.63,0.27,4
2023-04-28,2023-04-28,129,15490.75,Home & Garden,East,125.46,129,3.7,Okay product but overpriced,0.02,0.074,840,823.56,0.17,4
2023-04-29,2023-04-29,138,55030.8,Electronics,West,398.91,138,2.1,Okay product but overpriced,0.015,0.067,148,773.78,0.1,1
2023-04-30,2023-04-30,143,4150.12,Home & Garden,North,28.43,143,1.3,Poor customer service experience,0.044,0.01,322,766.81,0.09,1
2023-05-01,2023-05-01,158,10647.47,Home & Garden,North,68.67,158,4.2,Mediocre at best,0.046,0.049,918,439.59,0.29,1
2023-05-02,2023-05-02,118,9764.34,Clothing,West,81.66,118,3.8,Good value for money,0.01,0.025,741,699.75,0.29,5
2023-05-03,2023-05-03,130,4757.74,Books,East,38.1,130,4.1,Mediocre at best,0.036,0.014,424,961.12,0.15,3
2023-05-04,2023-05-04,99,5628.05,Home & Garden,South,57.6,99,1.2,Disappointed with the quality,0.041,0.047,839,865.31,0.06,4
2023-05-05,2023-05-05,126,22881.71,Home & Garden,South,178.43,126,3.4,"Product as described, satisfied",0.022,0.022,686,764.74,0.09,4
2023-05-06,2023-05-06,144,22200.07,Home & Garden,West,148.38,144,2.1,Shipping was delayed but product is good,0.025,0.015,200,564.28,0.08,6
2023-05-07,2023-05-07,126,26458.62,Electronics,West,220.59,126,1.5,Not worth the price,0.027,0.054,463,577.84,0.18,1
2023-05-08,2023-05-08,125,24608.01,Home & Garden,East,193.43,125,2.2,"Product as described, satisfied",0.041,0.08,569,978.41,0.04,1
2023-05-09,2023-05-09,113,13679.78,Clothing,South,123.97,113,1.1,Poor customer service experience,0.022,0.08,566,413.29,0.11,1
2023-05-10,2023-05-10,144,50794.27,Electronics,West,340.91,144,1.1,Disappointed with the quality,0.046,0.08,802,512.2,0.12,2
2023-05-11,2023-05-11,91,13874.11,Electronics,North,152.71,91,4.0,Shipping was delayed but product is good,0.029,0.015,962,948.45,0.24,6
2023-05-12,2023-05-12,112,21358.62,Home & Garden,Central,193.3,112,1.9,Disappointed with the quality,0.018,0.023,660,803.19,0.17,1
2023-05-13,2023-05-13,118,20179.98,Sports,North,168.09,118,2.0,Good value for money,0.024,0.093,361,522.99,0.27,5
2023-05-14,2023-05-14,121,14254.87,Electronics,South,116.29,121,2.8,"Product as described, satisfied",0.015,0.096,576,317.7,0.15,5
2023-05-15,2023-05-15,134,23170.8,Electronics,West,173.62,134,3.2,Okay product but overpriced,0.027,0.014,249,500.99,0.06,1
2023-05-16,2023-05-16,163,41477.51,Sports,South,245.77,163,2.0,Poor customer service experience,0.048,0.028,956,995.34,0.21,6
2023-05-17,2023-05-17,114,7676.96,Home & Garden,North,66.72,114,1.3,Poor customer service experience,0.035,0.098,271,813.34,0.27,6
2023-05-18,2023-05-18,135,4273.07,Books,West,30.86,135,1.6,Not worth the price,0.029,0.075,322,676.55,0.2,1
2023-05-19,2023-05-19,142,21461.95,Home & Garden,West,158.89,142,1.0,Disappointed with the quality,0.024,0.093,305,670.93,0.07,2
2023-05-20,2023-05-20,101,18952.28,Sports,West,188.99,101,1.1,"Average product, nothing special",0.029,0.07,206,360.0,0.12,6
2023-05-21,2023-05-21,162,2245.63,Toys,West,14.04,162,2.6,"Average product, nothing special",0.04,0.093,955,619.41,0.11,5
2023-05-22,2023-05-22,133,41042.77,Electronics,Central,303.83,133,2.0,Would not recommend to others,0.018,0.093,191,555.36,0.07,1
2023-05-23,2023-05-23,130,16386.12,Electronics,West,128.85,130,4.8,Mediocre at best,0.033,0.049,622,565.03,0.23,2
2023-05-24,2023-05-24,148,27829.89,Home & Garden,South,180.94,148,2.7,"Product as described, satisfied",0.041,0.053,547,284.21,0.18,2
2023-05-25,2023-05-25,103,42860.27,Electronics,South,434.76,103,1.3,"Average product, nothing special",0.048,0.056,468,829.79,0.25,2
2023-05-26,2023-05-26,149,17127.85,Clothing,Central,119.1,149,4.5,"Great product, highly recommend!",0.032,0.035,482,133.81,0.04,5
2023-05-27,2023-05-27,119,26998.63,Electronics,Central,237.45,119,4.9,Mediocre at best,0.019,0.037,373,307.37,0.0,5
2023-05-28,2023-05-28,135,2623.14,Books,East,18.97,135,4.4,"Great product, highly recommend!",0.027,0.037,392,741.36,0.25,2
2023-05-29,2023-05-29,147,28105.02,Home & Garden,North,182.35,147,4.0,"Great product, highly recommend!",0.026,0.063,694,170.61,0.16,5
2023-05-30,2023-05-30,135,56623.21,Electronics,West,401.28,135,1.2,Broke after a week of use,0.021,0.064,366,742.98,0.23,1
2023-05-31,2023-05-31,118,13738.95,Home & Garden,Central,111.6,118,4.3,Best purchase this year,0.038,0.074,515,928.9,0.21,5
2023-06-01,2023-06-01,131,11007.26,Sports,North,86.67,131,2.4,"Product as described, satisfied",0.023,0.098,870,731.05,0.22,4
2023-06-02,2023-06-02,115,3317.12,Books,North,29.85,115,4.1,Best purchase this year,0.039,0.045,122,855.1,0.0,5
2023-06-03,2023-06-03,120,6048.16,Toys,North,49.39,120,4.3,Excellent service and fast delivery,0.032,0.097,146,554.32,0.22,6
2023-06-04,2023-06-04,147,59646.76,Electronics,North,410.0,147,1.5,Broke after a week of use,0.045,0.024,378,361.04,0.26,5
2023-06-05,2023-06-05,123,6047.1,Clothing,South,48.81,123,4.3,Mediocre at best,0.046,0.011,706,146.65,0.16,2
2023-06-06,2023-06-06,152,31215.6,Electronics,North,208.83,152,3.9,Okay product but overpriced,0.026,0.016,805,357.18,0.13,5
2023-06-07,2023-06-07,119,9379.28,Electronics,South,75.46,119,3.6,Shipping was delayed but product is good,0.037,0.067,279,476.5,0.23,1
2023-06-08,2023-06-08,97,17723.7,Electronics,Central,174.34,97,1.3,Broke after a week of use,0.031,0.026,973,201.97,0.12,5
2023-06-09,2023-06-09,126,8987.64,Clothing,Central,72.07,126,2.1,Good value for money,0.018,0.053,341,358.72,0.2,6
2023-06-10,2023-06-10,97,2574.23,Clothing,West,25.39,97,2.2,Good value for money,0.014,0.064,661,683.65,0.08,1
2023-06-11,2023-06-11,158,3231.06,Books,Central,20.04,158,3.4,Shipping was delayed but product is good,0.023,0.034,637,879.49,0.28,1
2023-06-12,2023-06-12,147,72519.3,Electronics,East,475.13,147,1.8,Broke after a week of use,0.034,0.073,712,467.34,0.0,4
2023-06-13,2023-06-13,137,34258.75,Electronics,South,252.61,137,4.4,Amazing! Will buy again,0.018,0.071,979,191.7,0.0,3
2023-06-14,2023-06-14,149,57248.94,Electronics,South,386.77,149,2.0,"Average product, nothing special",0.027,0.075,108,630.51,0.18,4
2023-06-15,2023-06-15,95,34214.91,Electronics,West,371.32,95,4.5,Amazing! Will buy again,0.04,0.011,323,292.97,0.08,2
2023-06-16,2023-06-16,147,38111.39,Electronics,East,256.52,147,3.7,"Product as described, satisfied",0.013,0.096,854,824.58,0.25,6
2023-06-17,2023-06-17,156,8956.29,Home & Garden,East,56.05,156,4.0,Okay product but overpriced,0.031,0.016,434,928.69,0.18,4
2023-06-18,2023-06-18,154,33786.73,Electronics,North,215.8,154,4.1,"Great product, highly recommend!",0.028,0.067,323,734.91,0.13,3
2023-06-19,2023-06-19,93,13577.04,Clothing,Central,141.4,93,2.2,Okay product but overpriced,0.028,0.012,370,552.37,0.02,3
2023-06-20,2023-06-20,125,1760.91,Books,North,14.22,125,3.6,Shipping was delayed but product is good,0.02,0.024,244,163.44,0.06,4
2023-06-21,2023-06-21,116,23207.92,Sports,Central,208.18,116,2.2,Good value for money,0.022,0.032,563,582.0,0.11,3
2023-06-22,2023-06-22,98,20675.44,Sports,Central,202.59,98,4.8,Excellent service and fast delivery,0.023,0.042,555,947.01,0.26,1
2023-06-23,2023-06-23,126,14609.1,Home & Garden,South,119.61,126,4.4,Amazing! Will buy again,0.037,0.085,872,773.52,0.13,4
2023-06-24,2023-06-24,111,39958.84,Electronics,North,353.14,111,1.9,"Average product, nothing special",0.015,0.025,101,746.87,0.22,4
2023-06-25,2023-06-25,115,9737.21,Electronics,East,87.6,115,4.6,Excellent service and fast delivery,0.02,0.042,194,300.13,0.16,4
2023-06-26,2023-06-26,113,8357.48,Electronics,South,75.98,113,1.9,"Average product, nothing special",0.048,0.065,601,474.2,0.13,4
2023-06-27,2023-06-27,117,12845.54,Clothing,Central,109.79,117,2.6,Okay product but overpriced,0.045,0.067,579,203.86,0.18,1
2023-06-28,2023-06-28,120,13310.64,Electronics,Central,114.28,120,2.6,"Average product, nothing special",0.046,0.028,557,477.34,0.01,5
2023-06-29,2023-06-29,136,36284.49,Electronics,North,263.41,136,3.8,Shipping was delayed but product is good,0.02,0.011,751,582.09,0.25,5
2023-06-30,2023-06-30,119,16428.84,Sports,East,134.15,119,2.8,Shipping was delayed but product is good,0.017,0.087,894,519.68,0.02,3
2023-07-01,2023-07-01,98,21366.99,Sports,North,227.9,98,4.5,Mediocre at best,0.026,0.059,971,159.91,0.19,1
2023-07-02,2023-07-02,115,19880.57,Home & Garden,East,164.69,115,3.2,"Product as described, satisfied",0.023,0.03,415,435.28,0.02,3
2023-07-03,2023-07-03,129,19766.18,Home & Garden,North,150.09,129,1.0,Disappointed with the quality,0.019,0.07,535,104.78,0.24,5
2023-07-04,2023-07-04,128,4125.56,Home & Garden,Central,31.96,128,4.1,Mediocre at best,0.04,0.082,566,226.29,0.2,4
2023-07-05,2023-07-05,105,4138.57,Clothing,East,37.93,105,4.0,"Product as described, satisfied",0.046,0.078,637,688.72,0.27,4
2023-07-06,2023-07-06,107,3948.95,Clothing,Central,36.12,107,2.1,"Average product, nothing special",0.018,0.038,317,293.42,0.13,6
2023-07-07,2023-07-07,97,5323.5,Home & Garden,East,53.83,97,2.5,"Product as described, satisfied",0.043,0.069,816,344.75,0.21,2
2023-07-08,2023-07-08,101,3498.42,Books,East,35.45,101,1.8,Not worth the price,0.038,0.03,635,338.17,0.2,5
2023-07-09,2023-07-09,96,10835.48,Clothing,West,117.71,96,3.8,Shipping was delayed but product is good,0.025,0.049,128,333.62,0.01,6
2023-07-10,2023-07-10,89,27218.03,Electronics,North,300.8,89,2.3,"Average product, nothing special",0.046,0.09,392,910.86,0.3,5
2023-07-11,2023-07-11,128,9922.63,Sports,West,81.03,128,1.4,Disappointed with the quality,0.05,0.039,773,826.0,0.26,6
2023-07-12,2023-07-12,108,7088.75,Electronics,North,68.16,108,1.1,"Average product, nothing special",0.024,0.081,609,381.5,0.2,2
2023-07-13,2023-07-13,93,37599.22,Electronics,East,393.96,93,1.2,Disappointed with the quality,0.043,0.066,607,662.15,0.26,4
2023-07-14,2023-07-14,129,25435.94,Home & Garden,East,198.32,129,3.8,"Product as described, satisfied",0.026,0.031,637,935.36,0.28,3
2023-07-15,2023-07-15,145,8828.98,Home & Garden,West,58.09,145,3.6,"Product as described, satisfied",0.042,0.074,633,148.01,0.14,5
2023-07-16,2023-07-16,136,8594.79,Clothing,West,65.37,136,3.0,Shipping was delayed but product is good,0.038,0.073,683,347.76,0.05,4
2023-07-17,2023-07-17,123,6402.11,Home & Garden,North,52.28,123,3.7,Shipping was delayed but product is good,0.043,0.025,117,801.19,0.18,5
2023-07-18,2023-07-18,136,28066.51,Sports,North,205.63,136,3.0,Good value for money,0.026,0.024,615,349.31,0.28,4
2023-07-19,2023-07-19,79,6316.71,Home & Garden,Central,83.89,79,2.7,"Product as described, satisfied",0.013,0.065,892,894.62,0.2,2
2023-07-20,2023-07-20,90,20672.84,Sports,East,224.37,90,2.1,Good value for money,0.042,0.1,127,907.63,0.19,6
